Name,Author,Year,# of Words,"Parts, if available"
حنونه والحب قاسي,Beesho0o,2012.0,88186,
نهاية اللعبة,أنـسـاك7aMoOoDyعـجـزت ,2012.0,12706,
بنات في عالم الضياع,شموخ في زمن انكسار ,2012.0,72035,
ياللي تقول إن البنات بدنيتك ولاشي دنياك ماتسوى بليا العذارى,عاشقة القصايد ,2012.0,164427,
الحياة كذا,عاشقة الفن ,2012.0,35460,
أرواح تهوى الإنتقام,حور ,2012.0,271081,
إمبراطورية غين,همسي دلع ,2012.0,15038,
الموت أقرب لك مني يا ولد الأغراب,في خفوقي لك حكاية ,2012.0,57658,
خلف أستار الظلام,أمك تجيبك وأنا أبتلي ,2012.0,9099,
ياسادة العشق يكفي للحب مدية كفي,بقايا أحاسيس ,2012.0,11786,
يمه وين أحضانك أبي أنام بحضنك بس دخيلك لا تصحيني,الكريستال ,2012.0,240093,
ماني من اللي لا مشى الدهر ينساك ولاني من اللي عاشروك المصالح,آلمنسية ,2012.0,44948,
تشبهين الصبح في أول شروقه ، تشرقين وكل من حولك يغيب,Noudi28 ,2012.0,61140,
فــنــدة,نبـَض آليمـن ,2013.0,28044,
وجدا فيك حبنا لم تتلوه الروايات,فاتنه ك امي,2013.0,47942,
أغلى الصدف صدفه وياك تجمعني من عالم الغيب رب الكون سايقها ,amzeng,2013.0,63381,
أبرياء حتى تثبت إدانتهم 4,حُلمْ عناقه مع السماء,2013.0,165249,
اضحكي ما عليك من الحكي إنتي أجمل من وطى فوق الثرى وإنتي أجمل من نظر عين تشوف,Noudi28,2013.0,52888,
عزرائيليَّ الهَوى,Sameera kareemy,2013.0,58980,
تعال لحضني دفيني وعوض عمري وسنيني,,2013.0,25856,
طفلتك تلبس من أشعارك غطا لجل تستر جرحها عن عينهم,هَجُورْ آلسُبِيعِيْ,2013.0,215922,
أبي أسرح بهمساتك ونظرتك تذوبني,دايخة من لعبة بايخه,2013.0,14818,
تكفى لا تعلم إبوي ترى اللي فيه يكفيه,wrbyahbh..aa,2013.0,190225,
لمحت في شفتيها طيف مقبرتي تروي الحكايات أن الثغر معصية 2, طِيشْ !,2013.0,306203,
ياخسارة طيحة طحتها لأجل الحبيب والنهايه لا مسكني ولا سمى علي,عطيـآت,2013.0,235974,
غابت شمسي وبدت رحلتي مع الظلام,reem,2013.0,60209,
الموت ولا بعدك يا ولد الناس,آهآت مبعثرة,2013.0,58021,
خل غرورك ينفعك,مرسى احلامي,2013.0,52898,
سكتني بالقوة وقلي أحبك,صرخه وفا,2013.0,101465,
الدنيا يا صاحبي كلها مآسي واحزان ماتضيق الا بالصبر تهان,جرحني الشوق,2013.0,79617,
مااقسى من غيابك الا شوفتك صدفه,أتألم بصمت ,2013.0,69754,
ما أقسى قلوب تحرق ورود وزهور,انفآس الهجر ,2014.0,103052,
أنت لي اليوم وبكرا والعمر كله,,2014.0,19375,
محبوبي لاتسالني وش اللي طرالي وغير طباعي,شموخي عزوتي,2015.0,66991,
